State/UT,Hotel Name,City,Hotel Category,Hotel Type,Star Rating,Amenities,Nearby Tourist Places,Tourist Place Types,Distances (km)
Rajasthan,Umaid Bhawan Palace,Jodhpur,Ultra Luxury,Heritage Hotel,5★,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Mehrangarh Fort, Jaswant Thada, Clock Tower, Rao Jodha Desert Park, Kaylana Lake","Heritage, Heritage, Heritage, Heritage, Heritage","9, 27, 4, 21, 2"
Rajasthan,The Oberoi Udaivilas,Udaipur,Ultra Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Lake Pichola, City Palace, Jagdish Temple, Sajjangarh Fort, Fateh Sagar Lake","Heritage, Heritage, Religious, Heritage, Heritage","27, 9, 5, 23, 18"
Rajasthan,The Oberoi Rajvilas,Jaipur,Ultra Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Jaigarh Fort, Nahargarh Fort, Galta Ji (Monkey Temple), Sisodia Rani Garden, Amer Fort","Heritage, Heritage, Religious, Heritage, Heritage","5, 10, 11, 3, 24"
Rajasthan,The Leela Palace Udaipur,Udaipur,Ultra Luxury,Heritage Hotel,5★,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Saheliyon Ki Bari, Lake Pichola, City Palace, Jag Mandir, Monsoon Palace","Heritage, Heritage, Heritage, Religious, Heritage","23, 26, 18, 12, 17"
Rajasthan,The Leela Palace Jaipur,Jaipur,Ultra Luxury,Heritage Hotel,5★,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Nahargarh Fort, Amer Fort, Hawa Mahal, Jal Mahal, Jaigarh Fort","Heritage, Heritage, Heritage, Heritage, Heritage","19, 15, 14, 22, 29"
Rajasthan,Suryagarh Jaisalmer,Jaisalmer,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Sam Sand Dunes, Jaisalmer Fort, Patwon Ki Haveli, Gadisar Lake, Kuldhara Village","Heritage, Heritage, Heritage, Heritage, Heritage","2, 14, 6, 5, 9"
Rajasthan,Six Senses Fort Barwara,Ranthambore,Ultra Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ranthambore National Park, Khandar Fort, Trinetra Ganesh Temple, Surwal Lake, Chauth Mata Temple","Wildlife, Heritage, Religious, Heritage, Religious","9, 6, 8, 20, 13"
Rajasthan,Mihir Garh,Jodhpur,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Rohet Garh, Luni River, Jodhpur City, Bishnoi Village, Pali district","Heritage, Heritage, Heritage, Heritage, Heritage","13, 5, 22, 27, 28"
Rajasthan,RAAS Jodhpur,Jodhpur,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Toorji Ka Jhalra, Mehrangarh Fort, Sardar Market, Ghanta Ghar, Jaswant Thada","Heritage, Heritage, Heritage, Heritage, Heritage","7, 4, 8, 27, 5"
Rajasthan,Amanbagh,Jaipur,Ultra Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bhangarh Fort, Ajabgarh Fort, Sariska Tiger Reserve, Narayani Mata Temple, Neelkanth Temple","Heritage, Heritage, Wildlife, Religious, Religious","2, 2, 18, 8, 17"
Rajasthan,Alila Fort Bishangarh,Jaipur,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bishangarh Village, Samode Palace, Jaipur, Sariska Tiger Reserve, Chand Baori","Heritage, Heritage, Heritage, Wildlife, Heritage","29, 30, 12, 33, 18"
Rajasthan,Suján Jawai,Jaipur,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Jawai Dam, Ranakpur Jain Temple, Kumbhalgarh Fort, Pali, Dev Giri Temple","Heritage, Religious, Heritage, Heritage, Religious","28, 1, 19, 18, 3"
Rajasthan,Taj Jai Mahal Palace,Jaipur,Medium Luxury,Heritage Hotel,5★,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Albert Hall Museum, City Palace, Jantar Mantar, Hawa Mahal, Birla Mandir","Heritage, Heritage, Heritage, Heritage, Religious","18, 9, 4, 24, 3"
Rajasthan,Fairmont Jaipur,Jaipur,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Amber Fort, Nahargarh Fort, Jal Mahal, Jaigarh Fort, Elefantastic","Heritage, Heritage, Heritage, Heritage, Heritage","4, 10, 3, 6, 22"
Rajasthan,ITC Rajputana,Jaipur,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","City Palace, Hawa Mahal, Jantar Mantar, Albert Hall, Jaipur Zoo","Heritage, Heritage, Heritage, Heritage, Wildlife","28, 8, 4, 21, 56"
Rajasthan,Raffles Udaipur,Udaipur,Ultra Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Udai Sagar Lake, City Palace Udaipur, Lake Pichola, Eklingji Temple, Nathdwara","Heritage, Heritage, Heritage, Religious, Heritage","15, 13, 24, 12, 3"
Rajasthan,Narendra Bhawan,Jaipur,Medium Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Junagarh Fort, Karni Mata Temple, Lalgarh Palace, Gajner Wildlife Sanctuary, Bikaner Camel Research Centre","Heritage, Religious, Heritage, Wildlife, Heritage","5, 2, 24, 13, 13"
Rajasthan,Taj Aravali Resort & Spa,Jaipur,Medium Luxury,Resort,5★,"WiFi, Swimming Pool, Spa, Gym, Parking","Sajjangarh Monsoon Palace, Fateh Sagar Lake, Shilpgram, Saheliyon Ki Bari, City Palace","Heritage, Heritage, Heritage, Heritage, Heritage","30, 20, 10, 10, 28"
Rajasthan,The Oberoi Vanyavilas,Ranthambore,Medium Luxury,Resort,5★,"WiFi, Swimming Pool, Spa, Gym, Parking","Ranthambore Tiger Reserve, Ranthambore Fort, Jogi Mahal, Padam Talao, Kachida Valley","Wildlife, Heritage, Heritage, Heritage, Heritage","21, 20, 9, 29, 25"
Rajasthan,The Westin Pushkar Resort,Pushkar,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Brahma Temple, Pushkar Lake, Savitri Mata Temple, Varaha Temple, Ajmer Sharif Dargah","Religious, Heritage, Religious, Religious, Religious","3, 18, 8, 13, 10"
Rajasthan,"Aurika, Udaipur - Lemon Tree",Udaipur,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Fateh Sagar Lake, Sajjangarh Fort, City Palace, Lake Pichola, Vintage Car Museum","Heritage, Heritage, Heritage, Heritage, Heritage","16, 28, 18, 19, 26"
Rajasthan,The Serai - Suján,Jaisalmer,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Jaisalmer Fort, Sam Sand Dunes, Tanot Mata Temple, Longewala War Memorial, Patwon Ki Haveli","Heritage, Heritage, Religious, Heritage, Heritage","10, 8, 14, 11, 26"
Rajasthan,Samode Palace,Jaipur,Medium Luxury,Heritage Hotel,5★,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Samode Bagh, Samode Village, Chomu Palace, Jaipur City, Amber Fort","Heritage, Heritage, Heritage, Heritage, Heritage","27, 30, 3, 30, 8"
,,,,,,,,,
State,Hotel Name,,,,,,,,
Karnataka,Taj West End,Bengaluru,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bangalore Turf Club, Cubbon Park, Vidhana Soudha, Bangalore Palace, MG Road","Heritage, Heritage, Heritage, Heritage, Heritage","27, 19, 12, 11, 17"
Karnataka,The Leela Palace Bengaluru,Bengaluru,Ultra Luxury,Heritage Hotel,5★,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Cubbon Park, Lalbagh Botanical Garden, Bannerghatta National Park, Bangalore Palace, ISKCON Temple","Heritage, Heritage, Wildlife, Heritage, Religious","26, 30, 26, 11, 9"
Karnataka,"The Ritz-Carlton, Bangalore",Bengaluru,Ultra Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","UB City Mall, Cubbon Park, MG Road, Commercial Street, St. Mark's Cathedral","Heritage, Heritage, Heritage, Heritage, Heritage","26, 19, 19, 18, 13"
Karnataka,JW Marriott Bengaluru,Bengaluru,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Cubbon Park, Vidhana Soudha, MG Road, Brigade Road, Bangalore Palace","Heritage, Heritage, Heritage, Heritage, Heritage","26, 8, 19, 10, 25"
Karnataka,ITC Gardenia,Bengaluru,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Kanteerava Stadium, Cubbon Park, UB City, MG Road, Lalbagh","Heritage, Heritage, Heritage, Heritage, Heritage","11, 19, 18, 29, 29"
Karnataka,ITC Windsor,Bengaluru,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bangalore Golf Club, Bangalore Palace, Cubbon Park, Jawaharlal Nehru Planetarium, Mount Carmel College","Heritage, Heritage, Heritage, Heritage, Hill Station","6, 18, 29, 6, 10"
Karnataka,Conrad Bengaluru,Bengaluru,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ulsoor Lake, Commercial Street, MG Road, Bangalore Palace, Cubbon Park","Heritage, Heritage, Heritage, Heritage, Heritage","30, 23, 19, 11, 10"
Karnataka,Shangri-La Bengaluru,Bengaluru,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bangalore Palace, Mount Carmel College, Cubbon Park, Vidhana Soudha, Indira Gandhi Park","Heritage, Hill Station, Heritage, Heritage, Heritage","22, 9, 29, 15, 5"
Karnataka,"The Oberoi, Bengaluru",Bengaluru,Ultra Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","MG Road, Brigade Road, Commercial Street, Ulsoor Lake, Cubbon Park","Heritage, Heritage, Heritage, Heritage, Heritage","9, 20, 8, 16, 10"
Karnataka,Four Seasons Hotel Bengaluru,Bengaluru,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Bangalore Palace, Hebbal Lake, Manyata Tech Park, Snow City, ISKCON Temple","Heritage, Heritage, Heritage, Heritage, Religious","22, 22, 23, 25, 9"
Karnataka,"Evolve Back, Coorg",Coorg,Medium Luxury,Beach Resort,4★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Dubare Elephant Camp, Cauvery River, Abbey Falls, Raja's Seat, Mandalpatti Peak","Wildlife, Heritage, Adventure, Heritage, Hill Station","60, 14, 12, 14, 27"
Karnataka,"Evolve Back, Kabini",Kalpetta,Medium Luxury,Hill Resort,4★,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Nagarhole National Park, Kabini Dam, Bandipur National Park, Iruppu Falls, Wayanad Wildlife Sanctuary","Wildlife, Heritage, Wildlife, Adventure, Wildlife","18, 18, 55, 30, 40"
Karnataka,"Evolve Back, Hampi",Hampi,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Vijayanagara Ruins, Virupaksha Temple, Vitthala Temple, Matanga Hill, Tungabhadra Dam","Heritage, Religious, Religious, Religious, Heritage","29, 7, 15, 9, 2"
Karnataka,Taj Madikeri Resort & Spa,Madikeri,Medium Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Abbey Falls, Raja's Seat, Madikeri Fort, Mandalpatti, Omkareshwara Temple","Adventure, Heritage, Heritage, Heritage, Religious","43, 4, 20, 14, 15"
Karnataka,The Tamara Coorg,Coorg,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Nalknad Palace, Chelavara Falls, Tadiandamol Peak, Bhagamandala, Talakaveri","Heritage, Adventure, Hill Station, Heritage, Heritage","19, 15, 10, 4, 11"
Karnataka,The Serai Chikmagalur,Chikmagalur,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Mullayanagiri Peak, Baba Budangiri, Hirekolale Lake, Hebbe Falls, Jhari Falls","Hill Station, Religious, Heritage, Adventure, Adventure","31, 15, 23, 11, 11"
Karnataka,The Serai Kabini,Kalpetta,Medium Luxury,Hill Resort,4★,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Kabini River, Nagarhole National Park, Kabini Dam, Bandipur, Wayanad","Heritage, Wildlife, Heritage, Heritage, Heritage","29, 40, 21, 10, 7"
Karnataka,The Serai Bandipur,Kalpetta,Medium Luxury,Hill Resort,4★,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Bandipur National Park, Mudumalai National Park, Himavad Gopalaswamy Betta, Wayanad Wildlife Sanctuary, Ooty","Wildlife, Wildlife, Heritage, Wildlife, Hill Station","11, 34, 4, 24, 23"
Karnataka,Java Rain Resort,Chikmagalur,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Baba Budangiri, Mullayanagiri, Kemmanagundi, Bhadra Wildlife Sanctuary, Hebbe Falls","Religious, Heritage, Heritage, Wildlife, Adventure","13, 22, 18, 16, 12"
Karnataka,Rosetta by Ferns,Bengaluru,Medium Luxury,Resort,4★,"WiFi, Swimming Pool, Spa, Gym, Parking","Manjarabad Fort, Bisle Ghat, Sakleshpur Railway Trek, Magajahalli Waterfalls, Hemavathi Reservoir","Heritage, Heritage, Adventure, Adventure, Heritage","20, 3, 11, 2, 7"
Karnataka,Radisson Blu Plaza Hotel,Mysore,Medium Luxury,Business Hotel,4★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Mysore Palace, Chamundi Hill, Jaganmohan Palace, St. Philomena's Cathedral, Brindavan Gardens","Heritage, Hill Station, Heritage, Heritage, Heritage","12, 28, 7, 25, 27"
Karnataka,Grand Mercure Mysore,Mysore,Medium Luxury,Business Hotel,4★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Chamundi Hill, Mysore Zoo, Mysore Palace, Karanji Lake, Railway Museum","Hill Station, Wildlife, Heritage, Heritage, Heritage","32, 7, 27, 27, 25"
Karnataka,Taj Yeshwantpur,Bengaluru,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","ISKCON Temple, Orion Mall, Peenya Industrial Area, IISc Bangalore, Bangalore Palace","Religious, Heritage, Heritage, Heritage, Heritage","17, 11, 19, 21, 25"
Karnataka,Sheraton Grand Brigade Gateway,Bengaluru,Medium Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","World Trade Center, ISKCON Temple, Orion Mall, Malleshwaram, Sankey Tank","Heritage, Religious, Heritage, Heritage, Heritage","4, 16, 28, 13, 28"
Karnataka,Kahani Paradise,Mahabaleshwar,Medium Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Paradise Beach, Om Beach, Kudle Beach, Mahabaleshwar Temple, Half Moon Beach","Beach, Beach, Beach, Religious, Beach","5, 11, 19, 2, 3"
,,,,,,,,,
State,Hotel Name,,,,,,,,
Maharashtra,The Taj Mahal Palace,Mumbai,Ultra Luxury,Heritage Hotel,5★,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Gateway of India, Marine Drive, Colaba Causeway, Elephanta Caves, Chhatrapati Shivaji Terminus","Heritage, Beach, Heritage, Wildlife, Heritage","18, 24, 20, 9, 29"
Maharashtra,"The Oberoi, Mumbai",Mumbai,Ultra Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Marine Drive, Nariman Point, Wankhede Stadium, Girgaon Chowpatty, Jehangir Art Gallery","Beach, Heritage, Heritage, Heritage, Heritage","16, 29, 12, 22, 7"
Maharashtra,The St. Regis Mumbai,Mumbai,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Palladium Mall, Haji Ali Dargah, Mahalakshmi Temple, Nehru Planetarium, Worli Sea Face","Heritage, Religious, Religious, Heritage, Heritage","26, 14, 14, 21, 2"
Maharashtra,Taj Lands End,Mumbai,Ultra Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Bandra Bandstand, Mount Mary Church, Bandra-Worli Sea Link, Linking Road, Castella de Aguada","Heritage, Religious, Heritage, Heritage, Heritage","15, 11, 7, 29, 11"
Maharashtra,JW Marriott Juhu,Mumbai,Medium Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Juhu Beach, ISKCON Temple Juhu, Prithvi Theatre, Versova Beach, Nanavati Hospital","Beach, Religious, Heritage, Beach, Heritage","25, 6, 9, 18, 9"
Maharashtra,The Leela Mumbai,Mumbai,Medium Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Powai Lake, Phoenix Marketcity Kurla, Juhu Beach, Mahakali Caves, Film City","Heritage, Heritage, Beach, Adventure, Heritage","30, 12, 18, 25, 17"
Maharashtra,ITC Maratha,Mumbai,Medium Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Chhatrapati Shivaji Airport, Powai Lake, Sanjay Gandhi National Park, Juhu Beach, Andheri","Heritage, Heritage, Wildlife, Beach, Heritage","9, 30, 20, 16, 16"
Maharashtra,Sofitel Mumbai BKC,Mumbai,Medium Luxury,Beach Resort,5★,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Bandra Kurla Complex, MMRDA Grounds, Bandra-Worli Sea Link, Juhu Beach, Phoenix Marketcity","Heritage, Heritage, Heritage, Beach, Heritage","22, 23, 7, 16, 16"
Maharashtra,Trident Nariman Point,Mumbai,Medium Luxury,Business Hotel,4★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Marine Drive, Gateway of India, Prince of Wales Museum, Colaba, Mantralaya","Beach, Heritage, Heritage, Heritage, Heritage","16, 10, 12, 2, 25"
Maharashtra,Hilton Shillim Estate Retreat,Pune,Ultra Luxury,Business Hotel,5★,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Pawna Lake, Lohagad Fort, Visapur Fort, Tikona Fort, Tung Fort","Heritage, Heritage, Heritage, Heritage, Heritage","18, 28, 16, 10, 30"
Maharashtra,Atmantan Wellness Resort,Pune,Ultra Luxury,Resort,5★,"WiFi, Swimming Pool, Spa, Gym, Parking","Mulshi Dam, Tamhini Ghat, Temghar Dam, Lavasa City, Pune","Heritage, Heritage, Heritage, Heritage, Heritage","25, 25, 5, 2, 22"
