State,Hotel Name,Type,Amenities,Nearby Tourist Places
Rajasthan,The Oberoi Udaivilas,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Lake Pichola, City Palace, Jagdish Temple, Sajjangarh Fort, Fateh Sagar Lake"
Rajasthan,The Oberoi Rajvilas,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Jaigarh Fort, Nahargarh Fort, Galta Ji (Monkey Temple), Sisodia Rani Garden, Amer Fort"
Rajasthan,The Leela Palace Udaipur,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Saheliyon Ki Bari, Lake Pichola, City Palace, Jag Mandir, Monsoon Palace"
Rajasthan,The Leela Palace Jaipur,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Nahargarh Fort, Amer Fort, Hawa Mahal, Jal Mahal, Jaigarh Fort"
Rajasthan,Suryagarh Jaisalmer,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Sam Sand Dunes, Jaisalmer Fort, Patwon Ki Haveli, Gadisar Lake, Kuldhara Village"
Rajasthan,Six Senses Fort Barwara,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ranthambore National Park, Khandar Fort, Trinetra Ganesh Temple, Surwal Lake, Chauth Mata Temple"
Rajasthan,Mihir Garh,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Rohet Garh, Luni River, Jodhpur City, Bishnoi Village, Pali district"
Rajasthan,RAAS Jodhpur,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Toorji Ka Jhalra, Mehrangarh Fort, Sardar Market, Ghanta Ghar, Jaswant Thada"
Rajasthan,Amanbagh,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bhangarh Fort, Ajabgarh Fort, Sariska Tiger Reserve, Narayani Mata Temple, Neelkanth Temple"
Rajasthan,Alila Fort Bishangarh,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bishangarh Village, Samode Palace, Jaipur, Sariska Tiger Reserve, Chand Baori"
Rajasthan,Suján Jawai,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Jawai Dam, Ranakpur Jain Temple, Kumbhalgarh Fort, Pali, Dev Giri Temple"
Rajasthan,Taj Jai Mahal Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Albert Hall Museum, City Palace, Jantar Mantar, Hawa Mahal, Birla Mandir"
Rajasthan,Fairmont Jaipur,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Amber Fort, Nahargarh Fort, Jal Mahal, Jaigarh Fort, Elefantastic"
Rajasthan,ITC Rajputana,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","City Palace, Hawa Mahal, Jantar Mantar, Albert Hall, Jaipur Zoo"
Rajasthan,Raffles Udaipur,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Udai Sagar Lake, City Palace Udaipur, Lake Pichola, Eklingji Temple, Nathdwara"
Rajasthan,Narendra Bhawan,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Junagarh Fort, Karni Mata Temple, Lalgarh Palace, Gajner Wildlife Sanctuary, Bikaner Camel Research Centre"
Rajasthan,Taj Aravali Resort & Spa,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Sajjangarh Monsoon Palace, Fateh Sagar Lake, Shilpgram, Saheliyon Ki Bari, City Palace"
Rajasthan,The Oberoi Vanyavilas,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Ranthambore Tiger Reserve, Ranthambore Fort, Jogi Mahal, Padam Talao, Kachida Valley"
Rajasthan,The Westin Pushkar Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Brahma Temple, Pushkar Lake, Savitri Mata Temple, Varaha Temple, Ajmer Sharif Dargah"
Rajasthan,"Aurika, Udaipur - Lemon Tree",Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Fateh Sagar Lake, Sajjangarh Fort, City Palace, Lake Pichola, Vintage Car Museum"
Rajasthan,The Serai - Suján,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Jaisalmer Fort, Sam Sand Dunes, Tanot Mata Temple, Longewala War Memorial, Patwon Ki Haveli"
Rajasthan,Samode Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Samode Bagh, Samode Village, Chomu Palace, Jaipur City, Amber Fort"
Karnataka,Taj West End,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bangalore Turf Club, Cubbon Park, Vidhana Soudha, Bangalore Palace, MG Road"
Karnataka,The Leela Palace Bengaluru,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Cubbon Park, Lalbagh Botanical Garden, Bannerghatta National Park, Bangalore Palace, ISKCON Temple"
Karnataka,"The Ritz-Carlton, Bangalore",Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","UB City Mall, Cubbon Park, MG Road, Commercial Street, St. Mark's Cathedral"
Karnataka,JW Marriott Bengaluru,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Cubbon Park, Vidhana Soudha, MG Road, Brigade Road, Bangalore Palace"
Karnataka,ITC Gardenia,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Kanteerava Stadium, Cubbon Park, UB City, MG Road, Lalbagh"
Karnataka,ITC Windsor,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bangalore Golf Club, Bangalore Palace, Cubbon Park, Jawaharlal Nehru Planetarium, Mount Carmel College"
Karnataka,Conrad Bengaluru,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ulsoor Lake, Commercial Street, MG Road, Bangalore Palace, Cubbon Park"
Karnataka,Shangri-La Bengaluru,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Bangalore Palace, Mount Carmel College, Cubbon Park, Vidhana Soudha, Indira Gandhi Park"
Karnataka,"The Oberoi, Bengaluru",Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","MG Road, Brigade Road, Commercial Street, Ulsoor Lake, Cubbon Park"
Karnataka,Four Seasons Hotel Bengaluru,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Bangalore Palace, Hebbal Lake, Manyata Tech Park, Snow City, ISKCON Temple"
Karnataka,"Evolve Back, Coorg",Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Dubare Elephant Camp, Cauvery River, Abbey Falls, Raja's Seat, Mandalpatti Peak"
Karnataka,"Evolve Back, Kabini",Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Nagarhole National Park, Kabini Dam, Bandipur National Park, Iruppu Falls, Wayanad Wildlife Sanctuary"
Karnataka,"Evolve Back, Hampi",Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Vijayanagara Ruins, Virupaksha Temple, Vitthala Temple, Matanga Hill, Tungabhadra Dam"
Karnataka,Taj Madikeri Resort & Spa,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Abbey Falls, Raja's Seat, Madikeri Fort, Mandalpatti, Omkareshwara Temple"
Karnataka,The Tamara Coorg,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Nalknad Palace, Chelavara Falls, Tadiandamol Peak, Bhagamandala, Talakaveri"
Karnataka,The Serai Chikmagalur,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Mullayanagiri Peak, Baba Budangiri, Hirekolale Lake, Hebbe Falls, Jhari Falls"
Karnataka,The Serai Kabini,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Kabini River, Nagarhole National Park, Kabini Dam, Bandipur, Wayanad"
Karnataka,The Serai Bandipur,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Bandipur National Park, Mudumalai National Park, Himavad Gopalaswamy Betta, Wayanad Wildlife Sanctuary, Ooty"
Karnataka,Java Rain Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Baba Budangiri, Mullayanagiri, Kemmanagundi, Bhadra Wildlife Sanctuary, Hebbe Falls"
Karnataka,Rosetta by Ferns,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Manjarabad Fort, Bisle Ghat, Sakleshpur Railway Trek, Magajahalli Waterfalls, Hemavathi Reservoir"
Karnataka,Radisson Blu Plaza Hotel,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Mysore Palace, Chamundi Hill, Jaganmohan Palace, St. Philomena's Cathedral, Brindavan Gardens"
Karnataka,Grand Mercure Mysore,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Chamundi Hill, Mysore Zoo, Mysore Palace, Karanji Lake, Railway Museum"
Karnataka,Taj Yeshwantpur,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","ISKCON Temple, Orion Mall, Peenya Industrial Area, IISc Bangalore, Bangalore Palace"
Karnataka,Sheraton Grand Brigade Gateway,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","World Trade Center, ISKCON Temple, Orion Mall, Malleshwaram, Sankey Tank"
Karnataka,Kahani Paradise,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Paradise Beach, Om Beach, Kudle Beach, Mahabaleshwar Temple, Half Moon Beach"
Maharashtra,The Taj Mahal Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Gateway of India, Marine Drive, Colaba Causeway, Elephanta Caves, Chhatrapati Shivaji Terminus"
Maharashtra,"The Oberoi, Mumbai",Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Marine Drive, Nariman Point, Wankhede Stadium, Girgaon Chowpatty, Jehangir Art Gallery"
Maharashtra,The St. Regis Mumbai,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Palladium Mall, Haji Ali Dargah, Mahalakshmi Temple, Nehru Planetarium, Worli Sea Face"
Maharashtra,Taj Lands End,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Bandra Bandstand, Mount Mary Church, Bandra-Worli Sea Link, Linking Road, Castella de Aguada"
Maharashtra,JW Marriott Juhu,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Juhu Beach, ISKCON Temple Juhu, Prithvi Theatre, Versova Beach, Nanavati Hospital"
Maharashtra,The Leela Mumbai,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Powai Lake, Phoenix Marketcity Kurla, Juhu Beach, Mahakali Caves, Film City"
Maharashtra,ITC Maratha,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Chhatrapati Shivaji Airport, Powai Lake, Sanjay Gandhi National Park, Juhu Beach, Andheri"
Maharashtra,Sofitel Mumbai BKC,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Bandra Kurla Complex, MMRDA Grounds, Bandra-Worli Sea Link, Juhu Beach, Phoenix Marketcity"
Maharashtra,Trident Nariman Point,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Marine Drive, Gateway of India, Prince of Wales Museum, Colaba, Mantralaya"
Maharashtra,Hilton Shillim Estate Retreat,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Pawna Lake, Lohagad Fort, Visapur Fort, Tikona Fort, Tung Fort"
Maharashtra,Atmantan Wellness Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Mulshi Dam, Tamhini Ghat, Temghar Dam, Lavasa City, Pune"
Maharashtra,The Machan,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Lion's Point, Tiger Point, Bhushi Dam, Lonavala Lake, Karla Caves"
Maharashtra,Della Resorts,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Della Adventure Park, Rajmachi Fort, Khandala Lake, Duke's Nose, Kune Falls"
Maharashtra,"The Ritz-Carlton, Pune",Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Aga Khan Palace, Shaniwar Wada, Osho Ashram, Bund Garden, Phoenix Marketcity Pune"
Maharashtra,JW Marriott Pune,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Chaturshringi Temple, Pataleshwar Cave Temple, Pune University, Shaniwar Wada, Dagdusheth Halwai Ganpati"
Maharashtra,Conrad Pune,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Koregaon Park, Osho Garden, Aga Khan Palace, Bund Garden, Empress Garden"
Maharashtra,Le Meridien Mahabaleshwar,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Wilson Point, Venna Lake, Mapro Garden, Pratapgad Fort, Elephant's Head Point"
Maharashtra,Courtyard Mahabaleshwar,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Lingmala Waterfall, Venna Lake, Kate's Point, Mahabaleshwar Temple, Arthur's Seat"
Maharashtra,Radisson Blu Resort & Spa,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Alibaug Beach, Kolaba Fort, Varsoli Beach, Nagaon Beach, Kihim Beach"
Maharashtra,Silvanus Forest Resort,Beach Resort,"WiFi, Private Beach Access, Swimming Pool, Spa, Parking","Revdanda Beach, Murud Janjira Fort, Korlai Fort, Phansad Wildlife Sanctuary, Kashid Beach"
Maharashtra,The Gateway Hotel Ambad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Sula Vineyards, Trimbakeshwar Temple, Pandavleni Caves, Muktidham, Soma Vine Village"
Maharashtra,Radisson Blu Hotel & Spa,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Pandavleni Caves, Godavari River, Sula Vineyards, Ram Kund, Coin Museum"
Maharashtra,Vivanta Aurangabad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ajanta & Ellora Caves, Bibi Ka Maqbara, Daulatabad Fort, Panchakki, Himayat Bagh"
Maharashtra,Radisson Blu Hotel,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Deekshabhoomi, Sitabuldi Fort, Futala Lake, Ambazari Lake, Zero Mile Stone"
Maharashtra,Radisson Blu Plaza Resort,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Nd's Film World, Karjat Caves, Ulhas Valley, Bhivpuri Waterfalls, Kondana Caves"
Punjab,Taj Swarna,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Golden Temple, Jallianwala Bagh, Partition Museum, Wagah Border, Durgiana Temple"
Punjab,Hyatt Regency Amritsar,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Golden Temple, Hall Bazaar, Gobindgarh Fort, Jallianwala Bagh, Ram Bagh"
Punjab,Radisson Blu Amritsar,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Airport, Partition Museum, Golden Temple, Wagah Border, Pul Kanjari"
Punjab,WelcomHotel Amritsar,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Wagah Border, Golden Temple, Jallianwala Bagh, Partition Museum, Maharaja Ranjit Singh Museum"
Punjab,JW Marriott Chandigarh,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Rock Garden, Sukhna Lake, Rose Garden, Sector 17 Market, Pinjore Gardens"
Punjab,Taj Chandigarh,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Sukhna Lake, Leisure Valley, Rock Garden, Zakir Hussain Rose Garden, Sector 17"
Punjab,The Oberoi Sukhvilas,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Siswan Forest, Rock Garden, Sukhna Lake, Capitol Complex, Rose Garden"
Punjab,Hyatt Regency Chandigarh,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Elante Mall, Rock Garden, Sukhna Lake, Leisure Valley, Rose Garden"
Punjab,The Lalit Chandigarh,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","IT Park, Sukhna Lake, Rock Garden, Rose Garden, Pinjore Gardens"
Punjab,Hyatt Regency Ludhiana,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ferozepur Road, Lodhi Fort, Nehru Rose Garden, Tiger Safari, Maharaja Ranjit Singh Museum"
Punjab,Radisson Blu MBD Hotel,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","MBD Neopolis Mall, Pavilion Mall, Gurudwara Nanaksar, Hardy's World, Nehru Rose Garden"
Punjab,Ramada Encore Jalandhar,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Model Town, Devi Talab Mandir, Wonderland Theme Park, Pushpa Gujral Science City, Rangla Punjab"
Punjab,Radisson Red Mohali,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Cricket Stadium, Thunder Zone, Rose Garden, Rock Garden, Chhatbir Zoo"
Punjab,The Baradari Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Qila Mubarak, Sheesh Mahal, Omaxe Mall, Bahadurgarh Fort, Kali Devi Temple"
J&K,The Lalit Grand Palace,Heritage Hotel,"WiFi, Heritage Dining, Courtyard, Spa, Parking","Dal Lake, Shankaracharya Hill, Mughal Gardens, Indira Gandhi Tulip Garden, Hazratbal Shrine"
J&K,Vivanta Dal View,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Tulip Garden, Nishat Bagh, Shalimar Bagh, Pari Mahal, Dal Lake"
J&K,Taj Dal View,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Nishat Bagh, Dal Lake, Shalimar Bagh, Pari Mahal, Chashme Shahi"
J&K,Fortune Resort Heevan,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Zabarwan Hills, Dal Lake, Mughal Gardens, Tulip Garden, Pari Mahal"
J&K,Karan Mahal,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Shankaracharya Hill, Dal Lake, Chashme Shahi, Pari Mahal, Mughal Gardens"
J&K,The Khyber Himalayan,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Gulmarg Gondola, Khilanmarg, Alpather Lake, St. Mary's Church, Gulmarg Golf Course"
J&K,The Vintage Gulmarg,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Golf Course, Gulmarg Gondola, Baba Reshi Shrine, Khilanmarg, St. Mary's Church"
J&K,Nedous Hotel,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ski Slopes, Gulmarg Gondola, Strawberry Valley, Khilanmarg, Golf Course"
J&K,WelcomHotel Pine N Peak,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Lidder River, Betaab Valley, Aru Valley, Chandanwari, Mamleshwar Temple"
J&K,The Chinar Resort & Spa,Resort,"WiFi, Swimming Pool, Spa, Gym, Parking","Aru Valley, Betaab Valley, Lidder River, Chandanwari, Baisaran Valley"
J&K,The Grand Dragon Ladakh,Hill Resort,"WiFi, Mountain View Rooms, Spa, Terrace Dining, Parking","Leh Palace, Shanti Stupa, Thiksey Monastery, Hemis Monastery, Pangong Lake"
Gujarat,ITC Narmada,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Sabarmati Ashram, Adalaj Stepwell, Akshardham Temple, Kankaria Lake, Riverfront"
Gujarat,Hyatt Regency Ahmedabad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Sabarmati Riverfront, Siddi Saiyyed Mosque, Jama Masjid, Calico Museum, Science City"
Gujarat,The Leela Gandhinagar,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Mahatma Mandir, Indroda Park, Akshardham, Sarita Udyan, Children's Park"
Gujarat,Taj Skyline Ahmedabad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Sindhu Bhavan Road, ISKCON Temple, Science City, Law Garden, Alpha One Mall"
Gujarat,Courtyard Sindhu Bhavan,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","SG Highway, Science City, ISKCON Temple, Sabarmati Ashram, Gulmohar Mall"
Gujarat,Renaissance Ahmedabad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","SG Highway, Science City, Adalaj Stepwell, Law Garden, Sarkhej Roza"
Gujarat,Novotel Ahmedabad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","ISKCON Cross Road, Alpha One Mall, Law Garden, Vastrapur Lake, Sabarmati Ashram"
Gujarat,Crowne Plaza Ahmedabad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Shapath V, ISKCON Temple, Sarkhej Roza, Law Garden, Sabarmati Riverfront"
Gujarat,Radisson Blu Ahmedabad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Ambawadi, Law Garden, Sabarmati Ashram, Kankaria Lake, Jama Masjid"
Gujarat,Hyatt Ahmedabad,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Vastrapur Lake, Alpha One Mall, Law Garden, Sabarmati Riverfront, Science City"
Gujarat,WelcomHotel Alkapuri,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Laxmi Vilas Palace, Sayaji Baug, Baroda Museum, EME Temple, Nazarbaug Palace"
Gujarat,Vivanta Vadodara,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Akota Gardens, Sayaji Baug, Laxmi Vilas Palace, Khanderao Market, Maharaja Museum"
Gujarat,Sayaji Hotel Vadodara,Business Hotel,"WiFi, Business Center, Gym, Meeting Rooms, Parking","Kala Ghoda, Sayaji Baug, Baroda Museum, Laxmi Vilas Palace, Kirti Stambh"
